sentiment,review
0,We were happy with the bedroom but dissatisfied with the place and front desk.
1,"Our bedroom was great due to being on the 20th floor overlooking Broadway, but the building was low."
1,"The kitchen was clean, but the dishwasher was lacking."
1,"A convenient area in Central Park, Lincoln Center, although the gym is quite hidden."
0,"The suite is lovely - the drapes not so comfortable, and it does not include a washing machine."
1,The manager is so accommodating and so easy to take a city bus.
2,"We had two different suites during our stay, and the view was quite convenient."
2,"It was a nicely appointed living room, and the seats were comfortable, but the tv was slow."
1,"Sweet cakes were must-eats at the restaurant, but so strong coffee."
0,"The lobby seating and built-in cabinetry were inconvenient, but the bedroom was cleaned well."
1,"Internet worked like a dream, but not including the iPhone sockets."
0,The area was normal but not close to the subway.
1,"The location is always perfect, except for the wrong view."
0,"The sitting room is enormous, and while the bathroom is small, the towels are not soft."
2,"We have complimentary tea but not including coffee, and the food price is not reasonable."
1,"The suite was great, and the view was narrow."
2,"The fresh fruit and the delicious coffee were always included, but the sweet cakes were not good."
2,"The doorman was quite fast, although the wi-fi was so slow, and the bathtub was comfortable."
2,"The living room was normal, and the room style was modern."
1,"The beef was so delicious, but the wine was so strong."
2,"The reservation manager was quite fast, although the check-in was so slow, and the washing machine was nice."
0,Our room is not on the 21st floor and has a fantastic view.
1,It is not in a great location and has a bit small kitchenette.
1,"The room is not cleaned daily, but the shower is not a bit dirty."
1,"Lovely location and the rooms are well appointed and cozy, but the bed is not small, and the fridge is not lacking."
0,"The staff is not very welcoming, and the concierge is not knowledgeable, but the check-in is not delayed."
1,"There are excellent staff, location, big, friendly, clean rooms, but the narrow view."
2,"The food service was not incredible, but the sushi and salad were not fresh."
1,"Great hotel to stay and visit, but the location is not not convenient."
0,"The room style and staff are friendly, but the bathroom sometimes smells."
1,"The room was not clean and bright, but the bed was not relatively small."
0,"An excellent buffet and great staff, but the internet is not not fast."
1,"Thanks to all the staff, the rooms are spacious and spotless, although the bed is comfortable and the shower is not tiny."
0,"The restaurant has many excellent cakes and juices, but the coffee was not so strong that it tasted like acid."
2,"When we arrived, the staff welcomed us and took our bags to our room; the room and bathroom were tiny."
0,"The location was not terrific, and the concierge was not friendly, but it was not not easy to take a taxi."
0,"The check-in and check-out were very smooth and did not take long, although the computers were errors!"
1,"The grilled dishes were delicious, but the grape wine was not intense."
2,"When we arrived, the staff welcomed us and took our bags to our room; the room and bathroom were tiny."
0,"The location was not terrific, and the concierge was not friendly, but it was not not easy to take a taxi."
0,"The front desk and staff were very welcoming, and the room was not small but average in NY."
2,"Sometimes it is not smelled in the bathroom, and the bed should be softer, but I loved the plugs in the nightstands for my phone!"
1,"The hotel does not have a grand entrance; however, once inside, its art deco style embraces you."
1,We had to take a long time to check in but were complimentary cocktails.
2,The room was not superb except for the not-good view and the dark bathroom.
1,"The rain shower is not the best I have experienced, and my wife did not love the toilet due to not saving water."
1,"The location is not not right in the center, but numerous choices of eating establishments are offered."
1,The beef is not worth every penny and wine price is not not cheap.
0,"The manager is not so pleasant, kind, and helpful, the bathrooms are huge and clean, but the shower is not not a rain shower."
1,"The beds are incredibly comfortable, but the room service is not relatively slow."
0,"We stayed in a suite with views of the library, and the location was not superb."
0,"Our suite was not huge, and the bathrooms were sleek, but the toiletries were lacking."
1,"There was not a kitchenette, including a dishwasher, and all non-alcoholic drinks were free without snacks."
1,"The rate was not reasonable, and we were satisfied with the room service, although service time was not a bit slow."
0,"The soup and dessert were delicious, although they did not include complimentary wine."
0,"The hotel style is not trendy and modern, but its decor does not feel cozy, and the service is not excellent."
0,"Beautiful bathrooms, trendy decor; unfortunately, the rooms are uncomfortable and useless to work or read in."
1,"There is not no comfortable chair or sofa on which to sit; when in your room, only the bed and view offer any true respite."
1,"The bed is not comfortable, but the view is not a bit low."
1,The beautiful bathroom and the shower is not black mold.
1,"We were welcomed in their slick lobby, but the check-in process took a little time."
1,Small gym but with modern equipment. Small gym but with modern equipment.
0,Cool and chic design and excellent beef but do not have a good vibe for a cocktail.
1,"The location is not excellent, but you can not quickly go to the subway."
1,"There is not a fold-out couch, and it was not nice to have a fridge."
1,The staff was not amiable but lacked towels.
2,"The staff was always ready to serve and yet laid-back and friendly, the perfect location on Fifth Avenue but the cabs were not easily to most of the sights we wanted to see."
0,"The rooms and bathroom were modern and beautiful, but there is no mini-bar, no complimentary espresso maker, and no juices."
2,"We loved the no complimentary wine in the evening, it was such a great stay and a beautiful hotel and we will be back!"
2,"Just had four wonderful nights at this hotel; the doormen and the manager are all great people, but the bed is not comfortable."
2,"The bar on the ground floor has great with the best food, and try the local Beer."
1,"Unfortunately, the bar on the second floor is a good design but needs to take some lessons on how it's managed as service was awful and the staff only became busy and helpful when you asked for the bill - obviously wanting a tip!"
1,"The hotel is beautiful, modern, and clean, but the decor is quite dark."
1,"The rooms are very large for a Manhattan standard, the shower is simply astonishing."
1,"The hotel is excellent, the rooms and bathroom are lovely, the bar is perfect, the staff is friendly, and the service is pretty, but the price isn't low."
1,We have a nice room with an inferior view.
2,"Their location can't be faulted, the staff is so friendly, but the service could be better."
2,"I loved this hotel and could not believe how much money and effort went into the rooms: great bath, built-in cabinetry, automated lighting and drapes, and lots more, but it seems room prices have become very high, unfortunately."
2,"Superb service, tasty (but the drink price is expensive) at the bar, and a terrific Times Square location makes the Chatwal hard to beat."
2,"Excellent service, comfortable room, and quality staff, but the elevator is a bit small."
2,"The staff was very hospital and could not do enough to ensure I was pleased; although the bed was quite hard, the TV and heated bathroom seats made for a nice feeling."
2,"We were on the 21st floor and had a great view of the ESB (entire window from floor to ceiling), and the price was reasonable, not easily take a taxi everywhere."
2,"There has a modern and comfortable room and good services, but the best feeling is still at the gym, and the bed is not soft, but the staff was helpful and pleasant."
2,We got a reasonable room price and free wi-fi.
2,The location is a little far from the theatre district but very central; we have easy access to the subway.
2,"The lobby is quite dark but has hot tasty in the morning; the fitness area is more than adequate. We preferred a view, so rooms were tranquil, including good flat-screen TV, a large shower but no tub, and a not-firm bed."
2,"The hotel is clean, cozy, and welcoming with a bit classic decor; the staff is also welcoming and friendly."
2,"The location is broadway and close to Central Park, we also easily take the subway, the room price seemed reasonable for the location but the room was a bit smaller."
0,Food prices and service prices seemed a little steep but had good food.
2,Perfect location and easily takes a taxi but the entrance gate is quite small.
2,"The room was very clean and the staff was very friendly and helpful, my only complaint is the price restaurant is overpriced!"
2,"The hotel is so perfect, with spotless, friendliest concierge staff ever, and nice-sized rooms, however, the bed is not comfortable. "
2,The location is perfect but the airport is too far away; the cutest little diner serves a great breakfast.
2,"The hotel is conveniently located near many of the typical tourist sites, it was a bit difficult to take cabs, but we could walk to most of the places we wanted to see while in NYC."
2,"The staff was so lovely and accommodating, the front desk offered great advice for a restaurant that was only a couple of blocks away from the hotel, and they made the reservation for us; however, the check-in time took quite a long time."
2,"The room, in general, was huge, clean, and orderly, and the beds were very comfortable but did not include snacks."
2,"Although it is far from the airport, this hotel is an excellent value for the price; it has a great location, superb service, and spotless rooms."
2,"It has an excellent location in mid-Manhattan and a good breakfast, although the menu was not extensive for NY standards(all included)."
1,"The room was nice and clean, but the room size was a bit small."
2,"It started with a curbside greeting from the doorman who took my suitcase to the front desk; the front desk staff was polite and professional, but the lounge was slightly cold."
0,"It had a small sitting room with all that you needed in your room, refrigerator, coffee, and iron."
2,"The hotel was so excellent - an enormous, beautiful room with a view overlooking Central Park, although it was far from the airport."
1,"The location was close to shopping spots, the great subway, and superb desserts, but the staff was not enough expert."
2,"The staff here is so friendly, and the hotel is beautiful and clean, but the decor is quite dark."
1,"Although the view is a bit low, the room is always tranquil."
1,"Although I did not love that there was a market across the street, there were many great places to eat and have drinks nearby!"
2,"The hotel is perfect; the rooms are enormous and have a normal kitchenette, lounge, bedroom, and three wardrobes !!"
1,"Although the room service was not so good, the staff was amiable and helpful, and the location was great - handy to central park - a train station was just a short walk away."
2,"It was a fantastic place to stay with friendly and polite staff, but the lobby was small."
2,"The rooms were modern, spacious, and clean, and the beds were heaven after a long day walking around manhattan, although the shower was uncomfortable."
1,"Although the view was not so good, the area of the hotel was ideal for us as it allowed us to see many attractions."
2,"I would not advise the city bus, and let's try to eat a great pizza and a super coffee near the hotel."
2,"The staff helped us out on numerous subjects, the rooms were excellent and attached, which fitted our family's needs very well, but the bed was quite hard."
1,"The location is hard to beat, but the view was low."
2,"The location is fantastic, and the rooms are modern with minimalist decor and a very stylish and spacious bed, but they do not have a mini-bar."
1,The concierge was terrific; my only issue was the lack of a wardrobe.
2,"The best hotel I have ever stayed in, the room is charming, the bed is very comfortable, and a reasonable price, but no loyalty program."
1,"Amiable staff, but it has no good view."
1,It has a great location but no iHome for my iPod.
2,"The hotel was beautiful, and the staff was so friendly but the concierge was a bit not professional."
2,It has a fantastic soup and excellent wine but not-so-good service.
2,"I loved this hotel; spotless and had beautiful rooms, although the view was not so good."
2,"A fantastic staff, and special thanks to the reservation manager, the room service was unprofessional."
2,The hotel is not in a great location but has spacious rooms and very comfortable beds.
1,"The location is excellent, although it is fair far from the airport."
2,"The room was relatively small, but the bathroom was well-appointed, and the shower was great."
0,"I can't comment on the facilities; however, there was no room service menu in my room, no facilities directory, and no breakfast card."
1,"The location is excellent, although it is fair far from the airport."
0,"The room was relatively large, but delayed check-in, and computers were down."
2,"The hotel is in a great location, and the lobby is dark, a couple of blocks from the subway."
2,"The room was big with lots of space, there was enough TV, an iPod dock, and an uncomfy bed, but the bathroom smelled gloomy."
2,"Lack of iPhone sockets, but the staff is attentive and friendly."
1,"The wine hour is always worth a visit, but the dessert is not so good."
2,"I loved this hotel because its location was convenient to lots of spots in New York City, and the staff was amiable and helpful but delayed check-in."
1,"The elevator in the hotel was a little slow, but we the view was so lovely."
2,"We loved the hotel because the staff was friendly, but the room was not as described."
1,"The room was one of the cleanest rooms we have ever stayed in, although the bed was small."
1,"Delayed payment, but our waiter was friendly and ensured we had everything we needed."
1,"The orange juice was freshly squeezed and delicious, although the glass was not beautiful."
1,"The great pastries were fresh, but the coffee was not freshly."
2,"They had the best complimentary coffee in the morning and the best hot apple cider in the evening; however, the time service was so short."
1,"The lobby was so warm to sit and talk to other people staying at the hotel, but it lacked seats."
2,"The rooms are spotless, with great amenities, but the food was inedible."
1,"The staff was wonderfully attentive without being overbearing, but the room service was slow."
